ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_1_REP_1	TP_4_REP_1	TP_7_REP_1	TP_10_REP_1	TP_13_REP_1	TP_16_REP_1	TP_19_REP_1	TP_22_REP_1
sub_255	0.1269900233496073	0.3412856877520696	26.703108	2.54995896460506	0.1808670601181488	10.343565248134558	0.41328135	0.0	10.57321525	10.60262355	10.50913428	10.42884417	10.31079637	10.19890364	10.24254882	10.25042001	10.19505893
sub_256	0.12097573055968301	0.33975543150877474	26.477964	15.17075610288983	0.1312518580936764	9.976369811799922	0.43333617	0.0	9.6701640725	9.8382472635	9.874535803	9.929639262	10.039889741	10.0572290545	10.0960282415	10.0570623725	10.0670106685
sub_257	0.346476331988962	0.49899222932381604	26.292107	15.482719316584054	0.15441134086633707	10.000908760063211	0.07609253	0.0	9.627427338	9.888699452	9.812422339	9.93286071	10.093496	10.07667851	10.12666514	10.14396623	10.15687994
sub_258	0.16682586853463524	0.36217452062548644	25.801832	16.42595654125546	0.13199907559512414	12.938051515275163	0.30591002	0.0	12.83426526	12.51521178	12.87878271	12.86816298	12.90383691	12.97372475	13.06934111	13.08222137	13.11682557
sub_259	0.04791976225854384	0.32961862308073303	25.455992	13.77491951957635	0.5492584864423191	11.464531747108607	0.69556606	0.0	10.39535078	10.83537108	11.03238724	11.73749024	11.8854557	11.89601232	11.93301577	11.73843036	11.68760824
sub_260	0.010595768768131324	0.32961862308073303	25.977184	17.364468610702655	0.35756853702576585	10.541912557583505	0.8882786	0.0	10.4217345	10.14942249	10.17879323	10.28055498	10.40224534	10.71807365	10.78628127	10.89028003	10.82232063
sub_261	0.10760277365032195	0.3312511721173127	24.998575	8.355158311535572	0.31961476419022505	9.474943574001069	0.47053063	0.0	8.67691446	9.667451146	9.747541327	9.77619704	9.552492698	9.462452783	9.377252381	9.260704956	9.15058764
sub_262	0.280637515035732	0.4399577709674756	25.30639	18.929894753706847	0.10607960173423436	10.28005474951626	0.124625646	0.0	10.4528501	10.19491737	10.18328225	10.16677348	10.32971907	10.34959558	10.35928286	10.36824202	10.44468053
sub_263	0.8873558338640062	0.9023449526792765	26.38331	15.956330158496867	0.06110531678541123	10.33042468567312	0.0035236643	0.0	10.19901432	10.21052964	10.32919507	10.29785496	10.34593264	10.34201721	10.37756128	10.39807029	10.41482178
sub_264	0.7023101959951885	0.7800567121570176	25.91072	2.886673508882763	0.05886722940656639	11.342247647496327	0.009952954	0.0	11.66623257	11.37378486	11.42377713	11.36239951	11.34023175	11.29681564	11.34023175	11.26403473	11.18645666
sub_265	0.11761480223590179	0.33810054482417035	26.11812	15.380263352325043	0.11513220902602955	10.699308840229444	0.4417996	0.0	10.576967284	10.510116102	10.6696030725	10.695200303	10.7026805775	10.736793682	10.862890055	10.773479339	10.731897948
sub_266	0.07781433524375575	0.32961862308073303	26.852577	2.564232238586608	0.1031037160720974	8.6316053612907	0.57385945	0.0	8.720188779	8.783618646	8.698630569	8.643887985	8.622935889	8.6039885	8.497707104	8.553025786	8.584664813
sub_267	0.19618976862661855	0.38215581012638006	25.626024	14.274779507023032	0.10991538481760979	10.807185130666708	0.24487156	0.0	10.42688806	10.57387165	10.71787727	10.84054919	10.8719785	10.8654682	10.89436653	10.86815151	10.8995904
sub_268	0.32478949975235266	0.48158443066728157	26.45487	2.526254019002425	0.2524190563963929	7.615724560852371	0.08954623	0.0	8.200170585	7.766916944	7.865932396	7.6317112325	7.564522792	7.4455457865	7.34749555	7.4377913255	7.3587769085
sub_269	0.22077761267954432	0.3979285114763044	25.858467	14.40426001024689	0.13142733799693657	11.930129297694196	0.20102884	0.0	11.50482803	11.78760771	11.87095815	11.96958288	11.94305092	12.00356134	12.05180031	12.05478042	11.94305092
sub_270	0.6141477393334749	0.7137392646307951	27.08723	2.586639994662075	0.37479870213021205	5.863704247418711	0.015569579	0.0	6.555559992	6.242200855	5.920447152	6.132702431	5.660871634	5.583440615	5.543195941	5.540169444	5.409210062
sub_271	0.02950541286351093	0.32961862308073303	24.680143	11.39110375298879	0.08126069784651029	12.691446629959021	0.7846625	0.0	12.46716148	12.59792286	12.67320963	12.74386463	12.75543642	12.76598545	12.6815045	12.67042875	12.64272985
sub_272	0.1120250477605604	0.3312511721173127	26.610416	16.093681377087094	0.14971231067289167	11.963855932045593	0.45921555	0.0	11.72777628	11.86235949	11.80270766	11.9286073	11.98355638	12.0321239	12.07987965	12.12107203	12.01974704
sub_273	0.062460199533007854	0.32961862308073303	26.780716	16.62290495490359	0.16205514797746604	8.578132067218657	0.6356967	0.0	8.394713628	8.415524547	8.460467056	8.475366958	8.55247651966667	8.73310101833333	8.68471272433333	8.75044135533333	8.73974788133333
sub_274	0.16840019811788015	0.36217452062548644	24.992243	15.910555930637633	0.10870218480493887	11.124591710410591	0.30277154	0.0	11.09968429	10.67402177	11.0170653	11.02930637	11.17777758	11.17967271	11.20300548	11.27594374	11.27508302
sub_275	0.2322401471732824	0.4105406532676416	25.350687	4.841624581342873	0.11925414141238988	11.395958897098202	0.18328598	0.0	11.2886209	11.65407568	11.48703077	11.52609827	11.37093315	11.34395191	11.31165195	11.28492834	11.23419696
sub_276	0.14453760701903348	0.3604546490876357	26.85835	4.702103214336755	0.09333313362261608	8.41903913252864	0.3645018	0.0	8.517524705	8.48982757	8.4641303975	8.4705828745	8.48927588	8.405043207	8.337068447	8.3114380435	8.3023663765
sub_277	0.12315148942192033	0.33975543150877474	26.222605	14.189754367664273	0.06440485402074	11.145722835943198	0.4259468	0.0	10.94573576	11.02116385	11.11317592	11.14873587	11.17118887	11.20752832	11.19573398	11.18360084	11.16720043
sub_278	0.5618233920611335	0.681890487945166	25.622395	15.08834376891797	0.05840657239775819	8.706444593174439	0.020638004	0.0	8.498593777	8.650879083	8.682958493	8.76579168	8.693513994	8.741805975	8.755465907	8.809878673	8.78312678
sub_279	0.5847661501450506	0.7012534310504392	26.576414	3.806790907490433	0.04783946669658174	12.61837063999374	0.018097252	0.0	12.70450826	12.6699318	12.65657886	12.65321282	12.63310215	12.56892393	12.58821054	12.57324859	12.51249893
