ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3
sub_1273	40.6811	29.1589	33.0835	44.415	40.3907	35.5608	41.3485	36.6825	38.2359	35.6983	45.148	37.3479	23.1218	37.7237	41.0597	44.1772	42.2408	43.1272
sub_1274	23.8459	22.1059	38.5429	21.4802	18.5559	24.3533	25.2432	21.1371	19.278	34.7754	23.6365	29.8341	14.555	24.3626	21.2995	22.4741	25.5609	23.6087
sub_1275	55.5558	49.2562	50.8662	63.7168	43.6619	60.1566	56.2483	55.7625	54.5935	49.9851	61.0976	61.1994	46.797	52.7135	44.5487	69.3273	58.3074	63.6042
sub_1276	19.8128	12.3688	12.3234	17.6947	14.7713	16.6734	14.5106	17.0267	15.6484	16.655	11.2594	10.2683	17.7189	14.7736	19.8299	11.8438	9.64068	16.3376
sub_1277	16.2346	11.7111	8.56149	17.489	18.7878	19.5784	7.136	19.7146	12.3076	21.3533	15.0227	12.6962	12.1462	22.2303	14.1124	11.7149	22.0224	22.4531
sub_1278	22.3984	10.8882	15.0471	9.94919	14.2811	11.7741	9.27323	14.0309	18.6181	13.9109	16.9348	17.4799	9.89177	15.4527	12.6567	13.8287	13.8834	13.0846
sub_1279	42.7591	29.5219	20.4362	35.4828	36.8979	34.8749	39.0623	32.9519	29.6093	31.0575	33.2045	30.8472	29.6298	40.6144	31.6095	32.0817	29.3434	34.9807
sub_1280	40.5871	36.2171	30.486	41.2652	46.557	33.7631	42.0886	41.9071	31.5305	41.2623	34.6472	40.3852	31.263	46.2425	26.6594	39.8102	39.7406	47.7897
sub_1281	17.4112	17.0009	20.9038	21.1256	16.2331	23.2255	26.9743	18.494	17.367	16.2718	21.6595	17.783	16.5266	20.6032	18.6272	25.2845	21.7317	19.0282
sub_1282	93.2649	74.7485	50.2387	91.3999	100.678	95.8479	80.2446	79.8017	67.8473	72.5336	90.8961	79.883	57.8784	92.2923	94.3437	77.6248	92.0858	96.3507
sub_1283	66.6783	59.307	53.5776	65.97	63.9663	67.1765	67.878	67.8196	64.5703	58.7301	63.3268	61.6403	59.2397	66.5245	77.9556	61.7336	67.6774	70.7696
sub_1284	212.561	230.362	207.36	233.753	185.332	280.913	161.752	226.813	263.196	208.523	200.878	181.223	284.455	204.663	222.415	228.185	160.387	226.855
sub_1285	34.7402	31.8285	33.4552	38.1627	33.5968	46.0773	45.2407	40.3873	51.1275	43.0136	28.2316	25.8126	50.3243	29.9713	37.8771	55.3569	47.6677	34.5229
sub_1286	327.233	302.758	293.836	292.709	402	335.712	302.53	318.376	308.204	330.516	323.809	336.706	317.108	347.977	269.695	304.169	333.044	371.265
sub_1287	432.434	481.615	539.44	445.596	417.123	541.758	468.711	449.575	489.612	375.104	378.647	480.892	665.403	465.313	376.647	417.737	527.795	334.732
sub_1288	52.0207	46.9815	41.3175	55.4978	44.9007	48.4188	44.3099	51.133	39.6013	51.7832	47.944	54.0053	44.2023	46.3697	44.0141	50.4034	48.664	52.7084
sub_1289	1744.87	1868.71	1799.14	1968.58	1449.9	1890.54	1806.81	1719.79	1846.7	1706.15	1725.71	1835.66	1877.56	1716.48	1861.67	1833.09	1630.8	1605.21
sub_1290	162.156	130.802	132.689	163.764	195.676	180.16	156.786	161.045	138.575	142.324	182.126	166.214	139.284	170.365	155.973	199.424	138.532	202.278
sub_1291	32.7137	32.5688	35.5206	35.8124	37.8631	37.9633	34.1415	39.9004	38.4707	39.0843	30.6832	32.9679	41.1662	36.1205	33.712	44.0263	38.6731	33.8688
sub_1292	19.5499	22.0627	14.9433	26.4068	6.86495	22.4969	21.1206	21.2279	17.595	16.2102	13.4443	19.1642	22.823	21.0239	16.931	19.8039	13.9509	17.6583
sub_1293	665.201	650.225	724.405	630.466	663.239	648.435	608.772	658.178	718.569	661.312	650.098	667.678	705.423	656.685	689.739	649.44	712.572	525.109
sub_1294	83.3959	104.326	84.4844	99.8591	96.9561	103.737	75.3421	94.3196	105.06	97.1053	83.8851	91.9911	128.6	80.0164	89.3263	91.7539	98.1686	89.3358
sub_1295	42.4113	38.6089	42.8799	40.9435	39.8448	39.0561	43.2199	47.3303	41.9369	37.1634	46.4023	44.8881	36.1828	47.9048	36.6878	48.9538	37.2167	55.6216
sub_1296	65.1463	46.5075	45.6247	60.88	55.756	50.6384	63.9265	53.2751	56.2709	52.6722	54.939	58.5118	55.2061	50.8461	44.9724	51.1219	58.8401	72.9792
