ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_4_REP_1	TP_8_REP_1	TP_12_REP_1	TP_16_REP_1	TP_20_REP_1	TP_24_REP_1	TP_28_REP_1	TP_32_REP_1	TP_36_REP_1	TP_40_REP_1	TP_44_REP_1
sub_744	0.0004422274110238449	0.002904391177519493	22.869715	13.831346960444229	0.21515949153326316	8.025709010579597	0.99742657	0.0	7.855857095	7.795542591	8.023255034	8.138772229	8.10353034	8.003217129	7.881356535	7.719758856	8.160984374	8.299718787	8.115283737	7.93480361
sub_745	0.0021403806693554095	0.007512767517986623	25.531591	5.68887057027009	0.3490524534861517	7.077841817798583	0.9904986	0.0	7.030185025	7.307216377	7.323647722	7.098920716	6.908113035	6.65309949	7.077501775	7.561066945	7.405576608	7.347589201	6.958863839	6.657526714
sub_746	0.01248850208731338	0.02645338664426493	25.867989	13.17445840439806	0.23943062576397517	8.971930040156128	0.8916709	0.0	8.649401796	8.602650165	9.249097535	9.131807674	9.24773488	9.093756366	8.765375036	8.588065855	9.228156511	9.146747338	9.092382132	9.063211882
sub_747	0.46847803014222034	0.5020904902404315	23.246977	15.909446495421648	0.12014209765242981	5.011699536749864	0.07243451	0.0	4.987332459	4.756897	4.947908969	4.951104858	5.039323551	5.021039941	5.001534473	4.872998981	5.150225452	5.089974756	5.154209164	5.107207336
sub_748	0.12237316917851836	0.1537421263416077	23.461742	11.94896728539983	0.13057156935817466	5.145400367306211	0.29696408	0.0	4.785470428	5.12342633	5.094068501	5.040476188	5.241134197	5.026490516	5.045741334	5.075358364	5.24702626	5.406795509	5.124156186	5.075914708
sub_749	0.13203141583527914	0.16336244580273473	24.593416	9.785409394931891	0.18797828330111238	5.702192595206252	0.27582017	0.0	5.314246334	5.925191671	5.778398525	5.760778717	5.907933397	5.485338475	5.767576899	5.579791472	6.079333406	5.936665973	5.677509004	5.606371549
sub_750	0.036881766079388666	0.058407645862994836	23.954859	9.150082046137259	0.18558577600485127	5.753527932602788	0.6692852	0.0	5.409035953	5.928814181	5.851138435	5.874513895	5.844774234	5.535023175	5.785522013	5.749876995	6.124079493	5.873406186	5.72454716	5.637258014
sub_751	0.21525861458996676	0.24849504271030065	23.269423	11.1103308561688	0.1815564137585075	5.701350153091424	0.16743957	0.0	5.352890043	5.990083184	5.689349352	5.792002448	5.941214391	5.515027841	5.758589929	5.45474998	5.988170738	6.056422067	5.663712708	5.593292862
sub_752	0.5206254864501522	0.552050489985883	25.373692	5.6536878105094095	0.20497023079454355	5.973803959021732	0.06365128	0.0	6.021593228	5.869800624	6.054713772	5.986292476	5.789671343	5.521169924	6.069869945	6.202215614	5.753659712	6.146565879	5.86235964	5.431910339
sub_753	0.0	0.0	23.402899	10.429123669612167	1.4512118365898234	5.486953779425946	0.9992817	0.0	3.636273021	5.037964967	7.132762185	6.510154594	5.65188042	4.314904867	4.218112063	5.84697971	6.646529706	6.419670017	5.36010415	4.167796657
