ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_4_REP_1	TP_8_REP_1	TP_12_REP_1	TP_16_REP_1	TP_20_REP_1	TP_24_REP_1	TP_28_REP_1	TP_32_REP_1	TP_36_REP_1	TP_40_REP_1	TP_44_REP_1	TP_48_REP_1
sub_794	0.7332838038632986	0.8481354839864659	24.474892	1.5581199958964138	18.57704685760491	324.3887129131188	0.0016471541	0.0	381.864	343.678	339.715	350.417	296.53	406.145	293.907	289.87	326.029	308.879	251.153	290.93	325.344
sub_795	0.43543479799051865	0.5754932999724502	27.207752	11.258645469425185	8.230005754956247	135.05219937158373	0.012062493	0.0	128	147.536	131.266	141.492	146.091	104.462	130.949	110.654	137.902	128.52	146.239	141.721	127.922
sub_796	0.0005837401825514753	0.005355714122430319	24.739775	20.474778662614476	775.1150535838715	1166.6632890618596	0.9977368	0.0	1594.31	645.881	369.487	773.772	1663.34	2065.32	1660.83	827.56	409.315	670.388	1328.89	1626.95	1630.3
sub_797	0.004033113988537466	0.012380722011324315	25.939058	20.2288138061991	44.96332119047907	254.04998309405175	0.97957295	0.0	234.449	227.031	199.001	216.959	279.676	305.848	291.826	217.613	238.447	219.947	257.498	278.056	290.333
sub_798	0.0004599165074647987	0.005355714122430319	23.250702	11.471438829117474	730.7663313946396	3387.1427767469827	0.99799466	0.0	2587.65	3255.92	3780.72	4145.75	3636.9	2897.68	2680.86	3188.92	3438.93	4205.11	2916.64	3029.68	2357.64
sub_799	0.0009729003042524588	0.006226561947215737	24.880728	20.591432222359032	1062.9370863179781	2339.8232009538315	0.996117	0.0	2178.82	1809.35	1259.71	1441.95	2820.45	3491.39	3128.8	2200.82	1524.47	1453.44	3042.62	3177.43	3185.91
sub_800	3.5378192881907595e-05	0.0016243205079693227	25.654184	3.674691224036451	52.60410274094494	294.7487735899713	0.99875903	0.0	339.015	347.186	332.993	262.892	256.419	247.327	270.186	364.087	328.673	282.538	249.221	262.897	287.489
sub_801	0.028674025330786102	0.054558145494252475	23.059622	3.303047517332851	45.03094576334048	346.70453743545437	0.79479355	0.0	351.495	418.338	359.624	288.392	371.448	325.727	398.048	419.776	340.065	309.986	328.918	319.855	368.151
sub_802	0.0003537819288190759	0.005300991928035018	23.671005	9.041657984007076	217.96718517542206	1694.1758988424308	0.9981833	0.0	1582.67	1755.48	1900.13	1909.55	1601.93	1441.78	1649.58	1748.83	1962.35	1814.83	1616.67	1631.06	1532.41
sub_803	0.00010613457864572278	0.003189214655890986	26.127432	4.98997191879448	91.78767328551544	550.3992203182569	0.9985838	0.0	545.453	639.598	619.893	556.342	474.717	465.767	607.974	616.273	626.236	599.439	506.653	446.444	490.617
sub_804	0.006686478454680535	0.016900668142442715	26.03143	22.372365495816542	829.4127067531258	2197.0713449959703	0.96394	0.0	2441.78	2005	1411.73	1152.29	2578.97	3319.69	2984.9	2468.01	2204.6	1195.95	1720.99	2577.55	2609.12
sub_805	0.005943536404160475	0.015769785032144375	26.012955	22.35648776486436	707.0841237632342	1893.9340186578925	0.9680224	0.0	2091.37	1735.81	1224.11	999.178	2213.07	2822.69	2554.29	2104.44	1905.15	1031.67	1488.04	2220.2	2262.62
sub_806	0.008402320809453053	0.020119843026717515	26.40818	24.377356051955978	82.96855658740756	552.9207238494002	0.9543699	0.0	626.391	558.879	454.078	470.914	522.706	623.443	709.47	597.848	595.699	476.377	537.003	545.969	590.912
sub_807	0.3485459562725536	0.4743099611131657	24.25482	3.8602744761132453	24.79651051280755	445.68679638605784	0.026403384	0.0	428.544	474.253	390.298	449.711	341.564	435.454	461.993	450.432	458.951	415.78	435.136	322.006	481.181
sub_808	0.0012382367508667657	0.00667131637201686	23.870085	10.25741335136237	109.51497884370741	918.6302917793398	0.9940574	0.0	876.47	878.143	945.162	1092.07	786.292	842.549	853.283	914.02	1010.52	1045.64	956.261	810.767	790.249
sub_809	0.002246515248001132	0.00856433249779493	26.002707	4.552305205418228	64.83407892593173	582.2749303949428	0.9883116	0.0	575.124	612.508	625.882	532.145	537.394	534.335	599.706	638.424	660.519	594.169	559.961	467.397	545.782
sub_810	0.024216373027665748	0.04719802757779	25.883924	7.827153603743764	420.4451426721548	1108.5008602604164	0.8313275	0.0	1292.41	1009.27	3451.23	1180.15	845.551	534.433	810.869	1434.96	1135.43	1710.2	1393.22	511.122	967.153
sub_811	0.00012382367508667657	0.003189214655890986	25.032331	6.772832793061354	288.9188805656205	1367.3700909366341	0.99851173	0.0	1231.5	1640.73	1629.88	1441.3	1150.08	943.047	1272.51	1597.8	1647.36	1482.89	1343.33	1118.11	1269.17
sub_812	0.1589542206184108	0.24540300727052897	26.012943	13.248283217417457	129.61630872434262	682.5159358714302	0.15941013	0.0	438.404	602.735	629.197	809.618	696.2	558.033	727.857	644.367	753.181	707.797	900.023	729.321	698.183
sub_813	0.7709792683789712	0.8726196220880961	24.726217	5.115889613208881	8.988757231696777	375.0220131075684	0.0013059947	0.0	463.741	330.64	471.856	366.175	388.833	437.258	349.522	312.396	505.327	348.298	305.41	426.029	374.14
sub_814	0.8420717469751645	0.9157855456290152	23.044054	20.538420604629668	17.476493389778813	2295.224119749768	0.0008225682	0.0	2442.01	2433.04	2405.75	2240.14	2301.64	2210.94	2255.86	2271.9	2277.75	2275.1	2737.3	2311.54	2467.06
sub_815	0.5284440670770537	0.6755895094834973	24.493174	8.576061230720411	3.4024239151793987	98.83413027545939	0.0060737324	0.0	96.8318	101.323	129.763	79.7591	105.327	89.069	93.0912	93.2459	97.2284	87.5488	113.779	96.7344	99.8915
sub_816	0.8568598315998018	0.9261453246360192	22.8503	5.455107254857214	2.3116931658059925	498.5813065062159	0.0007453628	0.0	521.234	520.969	498.04	535.59	496.337	534.034	482.668	479.019	555.273	456.796	464.217	523.177	488.133
sub_817	0.9845751079034883	0.9953323129517702	24.38958	19.408610903994873	34.37063404958015	1302.7181852051876	0.00014024896	0.0	1043.41	1279.47	1105.75	1182.58	1357.44	1169.34	1483.19	1349.85	1318.74	1198.82	1481.44	1340.49	1299.34
sub_818	0.9460659449515318	0.9798777163168387	24.074137	19.923892881815917	2.614250959736025	205.03195544920925	0.00031916375	0.0	177.365	210.389	203.869	188.009	206.391	195.038	194.523	191.104	208.986	184.421	215.139	209.119	221.428
sub_819	0.8416825868534635	0.9157855456290152	22.421402	15.344450909835679	2.4138241894921535	122.2690245300681	0.0008246805	0.0	97.2201	133.727	120.773	106.039	148.269	99.929	120.448	118.958	125.983	109.118	144.908	127.329	138.362
sub_820	0.4523278850916295	0.5921946500281315	23.332891	6.684381023686987	17.31603600446934	252.80074415618782	0.010567996	0.0	266.08	216.947	285.465	249.073	238.84	359.572	243.119	283.942	328.024	235.287	206.325	247.621	224.835
sub_821	0.09438901860892945	0.1547083438233789	24.691507	23.578652672805983	0.7530073057837594	229.98177140282905	0.34004983	0.0	237.175	210.824	250.113	221.716	238.136	341.126	229.722	236.669	269.633	228.626	197.158	198.524	230.733
sub_822	0.6191891318191467	0.7629681717631493	24.719255	2.753934185802109	24.15016146853358	429.88135948398156	0.003302827	0.0	1293.19	223.219	682.965	396.516	498.785	185.711	421.719	532.231	98.3482	701.883	405.753	90.311	487.558
sub_823	0.8515000353781929	0.9231868966728662	24.664072	19.627044907111326	108.50750825285067	1271.1001904062446	0.0007739744	0.0	1128.16	1264.69	1199.04	1231.64	1195.71	1195.23	1353.75	1216.73	1103.84	1242.05	1342.73	1115.59	1274.98
sub_824	0.7572348404443501	0.864968192829241	22.266129	7.087528841333487	13.747040001937684	469.83558225910883	0.001422579	0.0	415.2602	465.0856	505.649	448.2454	507.854	449.2032	488.3566	451.9514	505.5054	428.0628	456.218	514.3294	482.0068
sub_825	0.5630793179084412	0.7087148506690274	22.055092	8.424424534877318	440.14599969054495	2334.799390275901	0.0048241923	0.0	1877.78	2721.27	2260.38	2565.67	2958.69	1864.11	2792.35	2580	2286.59	2312.1	2638.18	2753.02	2519.79
sub_826	0.8233213047477534	0.9084924742044176	25.450953	4.860773881838298	94.27612340827984	1680.7147650979575	0.00093592115	0.0	2270.26	1668.61	2124.87	1704.18	1698.92	1734.61	1634.71	1760.05	1441.6	1815.59	1590.53	1358.82	1512.08
sub_827	0.9461897686266185	0.9798777163168387	21.966698	4.8945519297160756	3.6891856415267013	225.31453008531005	0.00031833563	0.0	193.56415	242.32	238.8335	218.8745	250.438	223.906	242.625	220.11995	238.0215	203.85315	220.857	253.3115	214.3025
sub_828	0.9868746904408123	0.9953578539689569	23.038668	21.633635275692757	34.565311004025894	254.66914122488913	0.0001288768	0.0	220.028	280.237	209.884	228.974	265.516	237.725	275.329	248.976	250.672	242.223	269.358	232.017	245.517
sub_829	0.30200594353640414	0.4263613320513941	25.148613	16.810609481598213	36.74927049798141	1589.359472637903	0.04070057	0.0	1322.675	1533.14	1567.695	1583.26	1536.245	1522.58	1880.51	1545.885	1652.465	1684.535	1770.835	1677.84	1744.06
sub_830	0.8963065166631289	0.9512559614032805	24.770803	18.13502074288232	8.320583075482624	259.72131958071077	0.00054082676	0.0	214.065	257.238	245.333	248.353	264.817	247.033	265.259	253.044	276.812	219.382	289.454	278.12	272.278
sub_831	0.8471131394608363	0.9203204478093037	24.728828	22.82714863289645	144.1360765230567	932.9002398999569	0.00079502957	0.0	867.834	966.373	965.917	896.925	890.121	794.295	1094.91	907.415	730.975	1038.32	1037.77	855.198	1076.12
sub_832	0.9002334960730206	0.9535070931325073	25.028633	7.17017522312091	31.02387409059478	812.4863701001443	0.0005228524	0.0	1268.06	604.139	1065.95	963.227	793.814	812.059	728.971	742.735	708.9	930.397	768.251	523.749	838.337
sub_833	0.8206148729922875	0.9074024145338803	22.461	0.35747792472139006	58.220836301352946	4053.5816985793035	0.0009489662	0.0	4014.67533333333	4514.953	4270.54733333333	3709.486	4623.67333333333	4153.97433333333	4108.65133333333	4219.97833333333	3933.144	3881.467	3897.82333333333	4109.26566666667	3567.89333333333
sub_834	0.738519776409821	0.8523244632664164	24.620405	0.0	22.95646550552167	878.143542744527	0.0015924051	0.0	726.37	909.011	852.787	833.179	893.104	987.362	1006.46	893.078	951.634	823.032	873.16	829.521	841.598
sub_835	0.21170310620533503	0.31620718550612986	23.644815	19.192265208449854	9.738525275479255	298.2496083907171	0.09509873	0.0	224.088	286.882	289.772	277.015	305.661	282.076	367.395	288.582	288.843	288.663	322.556	309.28	301.408
sub_836	0.7895174414490908	0.8860046951862273	23.966501	16.783303417413975	12.792406923345577	1758.43505676248	0.0011617104	0.0	1413.27	1848.92	1598.31	1762.42	1891.04	1666.01	1911.83	1753.33	1713.28	1660.65	1858.03	1681.72	1844.91
sub_837	0.39812849359654706	0.5348901898701701	22.250341	16.64388356219712	107.85506453567504	4682.320470151965	0.016599108	0.0	5319.88	4402.03	5062.14	4748.12	4486.66	5970.6	4622.2	4585.28	5487.52	4646.57	4784.96	4554.48	4402.95
sub_838	0.5425776551333757	0.6887236092288098	23.909058	16.743076699555026	11.54467141903418	778.2915465922533	0.0055244262	0.0	613.466	732.456	687.679	766.783	767.024	738.169	881.775	771.973	772.876	786.575	794.792	785.649	774.269
sub_839	0.9122090143635463	0.9587790193587359	22.03583	2.8056889576550006	44.58723398841421	795.5081459565116	0.0004692439	0.0	613.374	947.048	799.503	756.669	909.985	850.296	1005.33	869.862	769.486	783.889	739.601	825.533	590.907
sub_840	0.6271669143140168	0.7656511693821986	24.108614	5.755507626127324	77.92744453020137	1555.2178472014855	0.0031455383	0.0	1736.43	1517.2	1544.47	1706.26	1514.87	1870.02	1481.13	1689.91	1627.1	1553.01	1325.66	1384.27	1375.9
sub_841	0.9546982240147174	0.9825442139739118	24.332083	17.81382772760248	17.05416748626486	971.1414729165068	0.00028391584	0.0	813.766	1062.79	888.263	972.326	974.835	1019.51	975.33	940.015	1046.5	951.755	941.186	1088.64	981.959
sub_842	0.8566475624425104	0.9261453246360192	24.70104	15.725170632621184	11.552807392892156	579.9219619769624	0.0007468801	0.0	534.285	599.507	556.275	595.385	598.295	562.218	647.242	593.871	569.471	567.409	592.027	587.021	537.314
sub_843	0.8976331988962004	0.951707487986333	25.490274	5.679664446673595	3.580910422317136	277.16673265951397	0.0005340475	0.0	279.324	289.513	284.067	274.95	294.749	238.29	284.444	279.709	262.992	219.171	283.324	260.528	227.751
sub_844	0.9124743508101606	0.9587790193587359	23.818855	10.614487961002368	158.37101028469178	1462.8885345107124	0.00046831334	0.0	2795.979	668.27	2171.56	1361.968	1875.56333333333	607.356333333333	1050.63933333333	1727.91766666667	200.458666666667	2595.47666666667	1479.072	405.532333333333	1921.15666666667
